"category_group_id","family","outcome","parameter","posterior_mean","posterior_sd","effective_sample_size","geweke_z","autocorrelation_lag1","autocorrelation_lag5","autocorrelation_lag10","diagnostic_flag"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","lambda[kernel]",13.1476516578383,5.90859210789057,344.489276154593,-0.55040941712475,0.757699578807668,0.238763471028144,-0.0195596773992443,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","r[Nitrate_ln_U]",0.0123089443187121,0.00136073266225247,1.7594908294008,-2.8270709080278,0.998592834602928,0.992964173014643,0.985928346029287,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","r[Perchlorate_ln_U]",0.0165289554060704,0.00508112735275308,4.0571865709257,3.24252836201272,0.984795859753338,0.94484675369186,0.894910371114938,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","r[Thiocyanate_ln_U]",0.0160254749948923,0.00407815690005364,4.72945070647347,2.37719945552063,0.996222074664635,0.981110373323178,0.962220746646356,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","delta[Nitrate_ln_U]",1,0,,,,,,"constant_or_nonfinite"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","delta[Perchlorate_ln_U]",0.9944,0.0746382498946682,186.719641448542,-1,0.856336099298926,0.56900379266758,0.209838409378237,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","delta[Thiocyanate_ln_U]",1,0,,,,,,"constant_or_nonfinite"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[age]",-0.249312855452098,0.0188217790479877,2500,-1.06141782151038,0.00868865625023304,0.0184788079455892,-0.0137475409478702,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[sexMale]",-0.0465310623212678,0.582114692451319,2500,2.29468548007732,-0.0105257721486839,0.028165183050826,-0.00849357678394695,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[ethNon-Hispanic Black]",-0.822883162224876,1.00080565766171,2500,-0.298386121997804,-0.0113907907943061,-0.0245624732356672,-0.0148173372308474,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[ethNon-Hispanic White]",2.71891578114491,0.85060943527784,2500,0.38472167502044,0.00271938149925313,-0.0156455344140641,-0.051941842828839,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[ethOther Hispanic]",2.34673829716945,1.056302305656,2500,-0.798951292406509,-0.00828041996738482,0.0246540183875503,-0.0161992423490768,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[ethOther Race]",2.45989437758603,1.03994032291644,2500,0.0839383409089555,-0.0268814639979428,0.0133011682296254,-0.0219869983873065,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[maritalNever married]",1.30966214546304,0.728480166647579,2500,-2.14044404121213,0.024035235190365,-0.00813010569678578,0.00278383996001225,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[maritalWidowed/Divorced/Separated]",-1.37739991498774,0.708655909953274,2500,0.740342501681937,-0.0260824668483533,-0.013737538752793,0.00768479622244744,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[PIR_levelMiddle-income]",-2.18993129841599,0.64343131442078,2500,0.142992723925979,0.00459603215004136,-0.0164320860029882,-0.0212038862188001,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[PIR_levelPoor]",-2.97414261375843,0.750419699035564,2500,0.161236786792953,0.00588716465751794,-0.000811717370654338,0.0137667740016477,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[eduBelow High school]",-3.33708082283704,1.12403469692956,2500,-0.906221442828341,-0.0205924957517617,0.0121530535237484,-0.00602709331341383,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[eduCompleted high school]",-3.05235743491869,0.598705816037447,2500,1.45203519131012,-0.00360178498939811,-0.0170325428026577,0.0151300769796527,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[alcohol.userHeavy]",0.578486915886766,0.91457670378385,2499.99999999999,0.422906881391822,0.0169498982782812,0.0275294613662429,0.0302391207546668,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[alcohol.userMild]",4.18143190244232,0.810447325915973,2500,0.15304100233865,-0.000603986012948251,0.0030333580376183,-0.0015495698537139,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[alcohol.userModerate]",2.52962696852227,0.951091325119872,2500,0.940534403799792,-0.000924356001235982,-0.0060770295314187,0.040216396926131,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","beta[alcohol.userNever]",4.65319772131716,0.955144289903345,2500,0.127319498610151,-0.0128859055189738,0.0156078764089267,0.0227039679404945,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","sigsq.eps",164.311732146891,4.66888098587468,2272.95301795793,-0.841987223991696,0.0473698294989193,0.00198350163410261,0.0252000631527885,"acceptable"
